date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,
2009/12/31,46.670000,46.360000,46.203333,46.145000,46.044000,45.963333,45.840000,45.706250,45.561111,45.408000,45.293636,45.185000,45.127692,45.087857,45.050667,44.973750,44.947647,44.917222,44.901053,44.851000,44.819524,44.789091,44.756087,44.706667,44.644800,44.640385,44.640741,44.630714,44.614138,44.600000,44.600323,44.605625,44.609394,44.623824,44.616286,44.612500,44.610270,44.592895,44.567949,44.533750,44.493171,44.456429,44.403256,44.359091,44.322444,44.285435,44.267660,44.265208,44.264694,44.260000,44.246471,44.245962,44.251698,44.256481,44.258182,44.259821,44.257018,44.245172,44.232373,44.216667,44.197541,44.190161,44.179048,44.156250,44.134769,44.125606,44.112537,44.094412,44.064493,44.041857,44.015775,43.998333,43.984247,43.972703,43.963067,43.952105,43.941948,43.924231,43.900759,43.884500,43.872099,43.852195,43.837108,43.815595,43.787412,43.754302,43.719540,43.685568,43.636404,43.587889,43.534725,43.484891,43.439032,43.397340,43.343474,43.294271,43.248351,43.204694,43.167071,43.138000,43.107426,43.068627,43.031942,42.994712,42.957238,42.919811,42.887664,42.860093,42.831835,42.802818,42.777928,42.756071,42.728319,42.697895,42.668870,42.640172,42.611368,42.583729,42.552269,42.518500,42.482645,42.441311,42.395122,42.359355,42.322320,42.280476,42.242677,42.202266,42.163178,42.125385,42.085344,42.039848,41.993910,41.950597,41.907778,41.862647,41.810876,41.766014,41.717986,41.667786,41.619574,41.572465,41.525944,41.489236,41.456345,41.421644,41.385238,41.356216,41.334094,41.310733,41.288079,41.271579,41.255621,41.239156,41.224387,41.197308,41.171274,41.145823,41.121572,41.099375,41.076460,41.048580,41.019755,40.985610,40.956909,40.928193,40.907605,40.885476,40.865858,40.846941,40.827778,40.803198,40.765029,40.714483,40.662914,40.614091,40.570282,40.526798,40.484637,40.443556,40.400221,40.356044,40.318197,40.276576,40.236486,40.195430,40.153904,40.109840,40.059630,40.014474,39.969791,39.924740,39.880104,39.830515,39.778718,39.726020,39.679949,39.635707,39.590754,39.544750,39.495622,39.442376,39.391576,39.342059,39.293317,39.242524,39.190145,39.134567,39.080287,39.023571,38.966777,38.911840,38.856573,38.799159,38.739302,38.679907,38.625253,38.570183,38.515388,38.458955,38.404027,38.348378,38.296188,38.242902,38.189911,38.140177,38.091101,38.039167,37.990873,37.941043,37.890952,37.840259,37.787296,37.735684,37.683787,37.630297,37.575949,37.522731,37.472762,37.422792,37.373154,37.322645,37.277572,37.233402,37.187265,37.141667,37.097126,37.053629,37.017671,36.980520,36.943745,36.902976,36.863478,36.819921,36.776863,36.734102,
2010/1/4,46.720000,46.695000,46.480000,46.332500,46.260000,46.156667,46.071429,45.950000,45.818889,45.677000,45.527273,45.412500,45.303077,45.241429,45.196667,45.155000,45.076471,45.046111,45.012105,44.992000,44.940000,44.905909,44.873043,44.837917,44.787200,44.724615,44.717407,44.715000,44.702759,44.684333,44.668387,44.666563,44.669697,44.671471,44.683714,44.674722,44.669459,44.665789,44.647436,44.621750,44.587073,44.546190,44.509070,44.455909,44.411556,44.374565,44.337234,44.318750,44.315306,44.313800,44.308235,44.294038,44.292642,44.297407,44.301273,44.302143,44.302982,44.299483,44.287119,44.273833,44.257705,44.238226,44.230317,44.218750,44.195692,44.173939,44.164328,44.150882,44.132464,44.102429,44.079577,44.053333,44.035616,44.021216,44.009333,43.999342,43.988052,43.977564,43.959620,43.936000,43.919506,43.906829,43.886747,43.871429,43.849765,43.821512,43.788391,43.753636,43.719663,43.670667,43.622308,43.569348,43.519677,43.473936,43.432316,43.378646,43.329588,43.283776,43.240202,43.202600,43.173465,43.142843,43.104078,43.067404,43.030190,42.992736,42.955327,42.923148,42.895505,42.867182,42.838108,42.813125,42.791150,42.763333,42.732870,42.703793,42.675043,42.646186,42.618487,42.587000,42.553223,42.517377,42.476098,42.430000,42.394240,42.357222,42.315433,42.277656,42.237287,42.198231,42.160458,42.120455,42.075038,42.029179,41.985926,41.943162,41.898102,41.846449,41.801655,41.753714,41.703617,41.655493,41.608462,41.562014,41.525310,41.492397,41.457687,41.421284,41.392215,41.370000,41.346556,41.323816,41.307190,41.291104,41.274516,41.259615,41.232484,41.206392,41.180881,41.156562,41.134286,41.111296,41.083374,41.054512,41.020364,40.991627,40.962874,40.942202,40.920000,40.900294,40.881287,40.862035,40.837399,40.799253,40.748800,40.697330,40.648588,40.604831,40.561397,40.519278,40.478232,40.434945,40.390820,40.352989,40.311405,40.271344,40.230321,40.188830,40.144815,40.094684,40.049581,40.004948,39.959948,39.915361,39.865846,39.814133,39.761523,39.715505,39.671307,39.626400,39.580448,39.531386,39.478227,39.427500,39.378049,39.329369,39.278647,39.226346,39.170861,39.116667,39.060047,39.003349,38.948498,38.893318,38.836000,38.776250,38.716959,38.662385,38.607397,38.552682,38.496335,38.441486,38.385919,38.333795,38.280578,38.227655,38.177974,38.128947,38.077074,38.028826,37.979048,37.929009,37.878369,37.825470,37.773915,37.722076,37.668650,37.614370,37.561213,37.511292,37.461369,37.411777,37.361317,37.316270,37.272122,37.226016,37.180445,37.135927,37.092450,37.056480,37.019323,36.982540,36.941779,36.902283,36.858745,36.815703,
2010/1/5,46.720000,46.720000,46.703333,46.540000,46.410000,46.336667,46.237143,46.152500,46.035556,45.909000,45.771818,45.626667,45.513077,45.404286,45.340000,45.291875,45.247059,45.167778,45.134211,45.097500,45.074286,45.020909,44.984783,44.950000,44.913200,44.861538,44.798519,44.788929,44.784138,44.770000,44.750000,44.732500,44.728788,44.730000,44.730000,44.740278,44.730000,44.723421,44.718462,44.699250,44.672927,44.637857,44.596744,44.559318,44.506222,44.461739,44.424468,44.386875,44.367755,44.363400,44.360980,44.354615,44.339811,44.337593,44.341455,44.344464,44.344561,44.344655,44.340508,44.327667,44.313934,44.297419,44.277619,44.269219,44.257231,44.233939,44.211940,44.201912,44.188116,44.169429,44.139296,44.116250,44.089863,44.071892,44.057200,44.045000,44.034675,44.023077,44.012278,43.994125,43.970370,43.953659,43.940723,43.920476,43.904941,43.883140,43.854828,43.821705,43.786966,43.753000,43.704176,43.655978,43.603226,43.553723,43.508105,43.466563,43.413093,43.364184,43.318485,43.275000,43.237426,43.208235,43.177573,43.138846,43.102190,43.065000,43.027570,42.990185,42.957982,42.930273,42.901892,42.872768,42.847699,42.825614,42.797739,42.767241,42.738120,42.709322,42.680420,42.652667,42.621157,42.587377,42.551545,42.510323,42.464320,42.428571,42.391575,42.349844,42.312093,42.271769,42.232748,42.195000,42.155038,42.109701,42.063926,42.020735,41.978029,41.933043,41.881511,41.836786,41.788936,41.738944,41.690909,41.643958,41.597586,41.560890,41.527959,41.493243,41.456846,41.427733,41.405430,41.381908,41.359085,41.342338,41.326129,41.309423,41.294395,41.267215,41.241069,41.215500,41.191118,41.168765,41.145706,41.117744,41.088848,41.054699,41.025928,40.997143,40.976391,40.954118,40.934327,40.915233,40.895896,40.871207,40.833086,40.782727,40.731356,40.682697,40.638994,40.595611,40.553536,40.512527,40.469290,40.425217,40.387405,40.345860,40.305829,40.264840,40.223386,40.179421,40.129372,40.084323,40.039741,39.994794,39.950256,39.900816,39.849188,39.796667,39.750704,39.706550,39.661692,39.615792,39.566798,39.513725,39.463073,39.413689,39.365072,39.314423,39.262201,39.206810,39.152701,39.096179,39.039577,38.984813,38.929721,38.872500,38.812857,38.753670,38.699178,38.644273,38.589638,38.533378,38.478610,38.423125,38.371067,38.317920,38.265066,38.215439,38.166463,38.114652,38.066450,38.016724,37.966738,37.916154,37.863319,37.811822,37.760042,37.706681,37.652469,37.599375,37.549502,37.499628,37.450082,37.399672,37.354653,37.310528,37.264453,37.218911,37.174418,37.130960,37.094980,37.057817,37.021028,36.980276,36.940784,36.897266,
2010/1/6,47.580000,47.150000,47.006667,46.922500,46.748000,46.605000,46.514286,46.405000,46.311111,46.190000,46.060909,45.922500,45.776923,45.660714,45.549333,45.480000,45.426471,45.376667,45.294737,45.256500,45.215714,45.188182,45.132174,45.092917,45.055200,45.015769,44.962222,44.897857,44.885172,44.877333,44.860645,44.838438,44.818788,44.812647,44.811429,44.809167,44.817027,44.805000,44.796667,44.790000,44.769512,44.742143,44.706279,44.664545,44.626444,44.573043,44.528085,44.490208,44.452041,44.432000,44.426471,44.422885,44.415472,44.399815,44.396545,44.399286,44.401228,44.400345,44.399492,44.394500,44.380984,44.366613,44.349524,44.329219,44.320154,44.307576,44.283881,44.261471,44.250870,44.236571,44.217465,44.187083,44.163699,44.137027,44.118667,44.103553,44.090909,44.080128,44.068101,44.056875,44.038395,44.014390,43.997349,43.984048,43.963529,43.947674,43.925632,43.897159,43.863933,43.829111,43.795055,43.746304,43.698172,43.645532,43.596105,43.550521,43.508969,43.455612,43.406768,43.361100,43.317624,43.280000,43.250680,43.219904,43.181143,43.144434,43.107196,43.069722,43.032294,43.000000,42.972162,42.943661,42.914425,42.889211,42.866957,42.838966,42.808376,42.779153,42.750252,42.721250,42.693388,42.661803,42.627967,42.592097,42.550880,42.504921,42.469134,42.432109,42.390388,42.352615,42.312290,42.273258,42.235489,42.195522,42.150222,42.104485,42.061314,42.018623,41.973669,41.922214,41.877518,41.829718,41.779790,41.731806,41.684897,41.638562,41.601837,41.568851,41.534094,41.497667,41.468477,41.446053,41.422418,41.399481,41.382581,41.366218,41.349363,41.334177,41.306918,41.280687,41.255031,41.230556,41.208098,41.184939,41.156909,41.127952,41.093772,41.064940,41.036095,41.015235,40.992865,40.972965,40.953757,40.934310,40.909543,40.871420,40.821130,40.769831,40.721229,40.677556,40.634199,40.592143,40.551148,40.507935,40.463892,40.426075,40.384545,40.344521,40.303545,40.262105,40.218168,40.168177,40.123161,40.078608,40.033692,39.989184,39.939797,39.888232,39.835779,39.789850,39.745721,39.700891,39.655025,39.606078,39.553073,39.502476,39.453140,39.404567,39.353971,39.301810,39.246493,39.192453,39.136009,39.079486,39.024791,38.969769,38.912627,38.853073,38.793973,38.739545,38.684706,38.630135,38.573946,38.519241,38.463822,38.411814,38.358722,38.305921,38.256332,38.207391,38.155628,38.107457,38.057768,38.007821,37.957277,37.904492,37.853038,37.801303,37.747992,37.693833,37.640788,37.590950,37.541111,37.491598,37.441224,37.396220,37.352105,37.306048,37.260522,37.216040,37.172590,37.136587,37.099407,37.062598,37.021843,36.982344,
2010/1/7,47.460000,47.520000,47.253333,47.120000,47.030000,46.866667,46.727143,46.632500,46.522222,46.426000,46.305455,46.177500,46.040769,45.897143,45.780667,45.668750,45.596471,45.539444,45.486316,45.403000,45.361429,45.317727,45.286957,45.229167,45.187600,45.147692,45.106296,45.051429,44.986207,44.971000,44.960645,44.941875,44.917879,44.896471,44.888286,44.885000,44.880811,44.886579,44.873077,44.863250,44.855122,44.833571,44.805349,44.768864,44.726667,44.688043,44.634468,44.589167,44.550816,44.512200,44.491373,44.484808,44.480189,44.471852,44.455455,44.451250,44.452982,44.453966,44.452203,44.450500,44.444754,44.430645,44.415714,44.398125,44.377385,44.367727,44.354627,44.330588,44.307826,44.296714,44.281972,44.262500,44.231918,44.208243,44.181333,44.162632,44.147143,44.134103,44.122911,44.110500,44.098889,44.080122,44.055904,44.038571,44.024941,44.004186,43.988046,43.965795,43.937191,43.903889,43.869011,43.834891,43.786237,43.738191,43.685684,43.636354,43.590825,43.549286,43.496061,43.447300,43.401683,43.358235,43.320583,43.291154,43.260286,43.221509,43.184766,43.147500,43.110000,43.072545,43.040180,43.012232,42.983628,42.954298,42.928957,42.906552,42.878462,42.847797,42.818487,42.789500,42.760413,42.732459,42.700813,42.666935,42.631040,42.589841,42.543937,42.508125,42.471085,42.429385,42.391603,42.351288,42.312256,42.274478,42.234519,42.189265,42.143577,42.100435,42.057770,42.012857,41.961489,41.916831,41.869091,41.819236,41.771310,41.724452,41.678163,41.641419,41.608389,41.573600,41.537152,41.507895,41.485359,41.461623,41.438581,41.421538,41.405032,41.388038,41.372704,41.345375,41.319068,41.293333,41.268773,41.246220,41.222970,41.194880,41.165868,41.131667,41.102781,41.073882,41.052924,41.030465,41.010462,40.991149,40.971600,40.946761,40.908644,40.858427,40.807207,40.758667,40.715028,40.671703,40.629672,40.588696,40.545514,40.501505,40.463690,40.422181,40.382169,40.341211,40.299791,40.255885,40.205959,40.160979,40.116462,40.071582,40.027107,39.977778,39.926281,39.873900,39.828010,39.783911,39.739113,39.693284,39.644390,39.591456,39.540918,39.491635,39.443110,39.392571,39.340474,39.285236,39.231268,39.174907,39.118465,39.063843,39.008894,38.951835,38.892374,38.833364,38.779005,38.724234,38.669731,38.613616,38.558978,38.503628,38.451674,38.398640,38.345895,38.296348,38.247446,38.195733,38.147597,38.097949,38.048043,37.997542,37.944810,37.893403,37.841715,37.788458,37.734357,37.681364,37.631564,37.581762,37.532286,37.481951,37.436964,37.392863,37.346827,37.301320,37.256853,37.213413,37.177391,37.140197,37.103373,37.062617,
2010/1/8,47.750000,47.605000,47.596667,47.377500,47.246000,47.150000,46.992857,46.855000,46.756667,46.645000,46.546364,46.425833,46.298462,46.162857,46.020667,45.903750,45.791176,45.716111,45.655789,45.599500,45.514762,45.470000,45.423478,45.389583,45.330000,45.286154,45.244074,45.200714,45.144483,45.078333,45.060645,45.047813,45.026970,45.001176,44.978000,44.967778,44.962432,44.956316,44.960000,44.945000,44.933659,44.924048,44.901395,44.872273,44.835111,44.792391,44.753191,44.699375,44.653673,44.614800,44.575686,44.554038,44.546415,44.540741,44.531455,44.514286,44.509123,44.509828,44.509831,44.507167,44.504590,44.498065,44.483333,44.467812,44.449692,44.428485,44.418209,44.404559,44.380145,44.357000,44.345352,44.330139,44.310274,44.279459,44.255467,44.228289,44.209221,44.193333,44.179873,44.168250,44.155432,44.143415,44.124337,44.099881,44.082235,44.068256,44.047241,44.030795,44.008315,43.979556,43.946154,43.911196,43.876989,43.828404,43.780421,43.728021,43.678763,43.633265,43.591717,43.538600,43.489901,43.444314,43.400874,43.363173,43.333619,43.302642,43.263832,43.227037,43.189725,43.152182,43.114685,43.082232,43.054159,43.025439,42.996000,42.970517,42.947949,42.919746,42.888992,42.859583,42.830496,42.801311,42.773252,42.741532,42.707600,42.671667,42.630472,42.584609,42.548760,42.511692,42.470000,42.432197,42.391880,42.352836,42.315037,42.275074,42.229854,42.184203,42.141079,42.098429,42.053546,42.002254,41.957622,41.909931,41.860138,41.812260,41.765442,41.719189,41.682416,41.649333,41.614503,41.578026,41.548693,41.526039,41.502194,41.479038,41.461847,41.445190,41.428050,41.412562,41.385155,41.358765,41.332945,41.308293,41.285636,41.262289,41.234132,41.205060,41.170828,41.141882,41.112924,41.091860,41.069306,41.049195,41.029771,41.010114,40.985198,40.947079,40.896927,40.845778,40.797293,40.753681,40.710383,40.668370,40.627405,40.584247,40.540267,40.502447,40.460952,40.420947,40.380000,40.338594,40.294715,40.244845,40.199897,40.155408,40.110558,40.066111,40.016834,39.965400,39.913085,39.867228,39.823153,39.778382,39.732585,39.683738,39.630870,39.580385,39.531148,39.482667,39.432180,39.380142,39.324977,39.271075,39.214791,39.158426,39.103871,39.048991,38.992009,38.932636,38.873710,38.819414,38.764709,38.710268,38.654222,38.599646,38.544361,38.492456,38.439476,38.386783,38.337273,38.288405,38.236738,38.188632,38.139021,38.089153,38.038692,37.986008,37.934644,37.883000,37.829793,37.775744,37.722798,37.673033,37.623265,37.573821,37.523522,37.478548,37.434458,37.388440,37.342948,37.298492,37.255059,37.219016,37.181804,37.144961,
2010/1/11,47.870000,47.810000,47.693333,47.665000,47.476000,47.350000,47.252857,47.102500,46.967778,46.868000,46.756364,46.656667,46.536923,46.410714,46.276667,46.136250,46.019412,45.906667,45.829474,45.766500,45.707619,45.621818,45.574348,45.525417,45.488800,45.427692,45.381852,45.337857,45.292759,45.235333,45.168387,45.148438,45.133333,45.110588,45.083143,45.058333,45.046216,45.038947,45.031026,45.032750,45.016341,45.003571,44.992558,44.968864,44.938889,44.901087,44.857872,44.818125,44.764082,44.718000,44.678627,44.639038,44.616604,44.607963,44.601273,44.591071,44.573158,44.567069,44.566780,44.565833,44.562295,44.558871,44.551587,44.536250,44.520154,44.501515,44.479851,44.468971,44.454783,44.430000,44.406479,44.394306,44.378630,44.358378,44.327333,44.303026,44.275584,44.256154,44.239873,44.226000,44.213951,44.200732,44.188313,44.168929,44.144235,44.126279,44.111954,44.090682,44.073933,44.051222,44.022308,43.988804,43.953763,43.919468,43.870947,43.823021,43.770722,43.721531,43.676061,43.634500,43.581485,43.532843,43.487282,43.443846,43.406095,43.376415,43.345327,43.306481,43.269633,43.232273,43.194685,43.157143,43.124602,43.096404,43.067565,43.038017,43.012393,42.989661,42.961345,42.930500,42.900992,42.871803,42.842520,42.814355,42.782560,42.748571,42.712598,42.671406,42.625581,42.589692,42.552595,42.510909,42.473083,42.432761,42.393704,42.355882,42.315912,42.270725,42.225108,42.182000,42.139362,42.094507,42.043287,41.998681,41.951034,41.901301,41.853469,41.806689,41.760470,41.723667,41.690530,41.655658,41.619150,41.589740,41.566968,41.543013,41.519745,41.502405,41.485597,41.468312,41.452671,41.425185,41.398712,41.372805,41.348061,41.325301,41.301856,41.273631,41.244497,41.210235,41.181228,41.152209,41.131040,41.108391,41.088171,41.068636,41.048870,41.023876,40.985754,40.935667,40.884586,40.836154,40.792568,40.749293,40.707297,40.666344,40.623209,40.579255,40.541429,40.499947,40.459948,40.419010,40.377617,40.333763,40.283949,40.239031,40.194569,40.149747,40.105327,40.056100,40.004726,39.952475,39.906650,39.862598,39.817854,39.772087,39.723285,39.670481,39.620048,39.570857,39.522417,39.471981,39.420000,39.364907,39.311070,39.254861,39.198571,39.144083,39.089269,39.032364,38.973077,38.914234,38.860000,38.805357,38.750978,38.695000,38.640485,38.585263,38.533406,38.480478,38.427835,38.378362,38.329528,38.277906,38.229830,38.180254,38.130422,38.080000,38.027364,37.976042,37.924440,37.871281,37.817284,37.764385,37.714653,37.664919,37.615506,37.565242,37.520281,37.476200,37.430199,37.384722,37.340277,37.296850,37.260784,37.223555,
2010/1/12,47.630000,47.750000,47.750000,47.677500,47.658000,47.501667,47.390000,47.300000,47.161111,47.034000,46.937273,46.829167,46.731538,46.615000,46.492000,46.361250,46.224118,46.108889,45.997368,45.919500,45.855238,45.795000,45.709130,45.660000,45.609600,45.571154,45.509259,45.462143,45.416897,45.370667,45.312581,45.245313,45.223636,45.206765,45.182571,45.153889,45.127838,45.114211,45.105385,45.096000,45.096098,45.078571,45.064651,45.052500,45.028000,44.997391,44.959149,44.915625,44.875510,44.821400,44.775098,44.735385,44.695472,44.672407,44.662909,44.655357,44.644386,44.625862,44.618983,44.617833,44.616066,44.611774,44.607619,44.599687,44.583846,44.567273,44.548209,44.526176,44.514783,44.500143,44.475070,44.451250,44.438630,44.422568,44.402000,44.370789,44.346234,44.318590,44.298861,44.282250,44.268025,44.255610,44.242048,44.229286,44.209647,44.184767,44.166552,44.151932,44.130449,44.113444,44.090549,44.061522,44.027957,43.992872,43.958526,43.910104,43.862268,43.810102,43.761010,43.715600,43.674059,43.621176,43.572621,43.527115,43.483714,43.445943,43.416168,43.385000,43.346147,43.309273,43.271892,43.234286,43.196726,43.164123,43.135826,43.106897,43.077265,43.051525,43.028655,43.000250,42.969339,42.939754,42.910488,42.881129,42.852880,42.821032,42.787008,42.751016,42.709845,42.664077,42.628168,42.591061,42.549398,42.511567,42.471259,42.432206,42.394380,42.354420,42.309281,42.263714,42.220638,42.178028,42.133217,42.082083,42.037517,41.989932,41.940272,41.892500,41.845772,41.799600,41.762781,41.729605,41.694706,41.658182,41.628710,41.605833,41.581783,41.558418,41.540943,41.524000,41.506584,41.490802,41.463252,41.436707,41.410727,41.385904,41.363054,41.339524,41.311243,41.282059,41.247778,41.218721,41.189653,41.168391,41.145657,41.125341,41.105706,41.085843,41.060782,41.022667,40.972652,40.921648,40.873279,40.829728,40.786486,40.744516,40.703583,40.660479,40.616561,40.578737,40.537277,40.497292,40.456373,40.415000,40.371179,40.321429,40.276548,40.232121,40.187337,40.142950,40.093781,40.042475,39.990296,39.944510,39.900488,39.855777,39.810048,39.761298,39.708565,39.658190,39.609052,39.560660,39.510282,39.458364,39.403349,39.349583,39.293456,39.237248,39.182831,39.128091,39.071267,39.012072,38.953318,38.899152,38.844578,38.790265,38.734361,38.679912,38.624760,38.572957,38.520087,38.467500,38.418069,38.369274,38.317702,38.269661,38.220127,38.170336,38.119958,38.067375,38.016100,37.964545,37.911440,37.857500,37.804653,37.754959,37.705263,37.655887,37.605663,37.560720,37.516653,37.470675,37.425217,37.380787,37.337373,37.301289,
2010/1/13,46.920000,47.275000,47.473333,47.542500,47.526000,47.535000,47.418571,47.331250,47.257778,47.137000,47.023636,46.935833,46.836154,46.745000,46.635333,46.518750,46.394118,46.262778,46.151579,46.043500,45.967143,45.903636,45.843913,45.759583,45.710400,45.660000,45.621111,45.559643,45.512414,45.467000,45.420645,45.362813,45.296061,45.273529,45.255714,45.230833,45.201622,45.175000,45.160513,45.150750,45.140488,45.139524,45.121395,45.106818,45.094000,45.069130,45.038298,45.000000,44.956531,44.916400,44.862549,44.816346,44.776604,44.736667,44.713273,44.703214,44.695088,44.683621,44.664746,44.657333,44.655574,44.653226,44.648413,44.643750,44.635385,44.619242,44.602388,44.583088,44.560870,44.549143,44.534225,44.509028,44.485068,44.472162,44.455867,44.435132,44.403896,44.379231,44.351519,44.331625,44.314815,44.300366,44.287711,44.273929,44.260941,44.241163,44.216207,44.197841,44.183034,44.161444,44.144286,44.121304,44.092258,44.058723,44.023684,43.989375,43.941134,43.893469,43.841515,43.792600,43.747327,43.705882,43.653204,43.604808,43.559429,43.516132,43.478411,43.448611,43.417431,43.378636,43.341802,43.304464,43.266903,43.229386,43.196783,43.168448,43.139487,43.109831,43.084034,43.061083,43.032645,43.001721,42.972114,42.942823,42.913440,42.885159,42.853307,42.819297,42.783333,42.742231,42.696565,42.660682,42.623609,42.582015,42.544222,42.503971,42.464964,42.427174,42.387266,42.342214,42.296738,42.253732,42.211189,42.166458,42.115448,42.070959,42.023469,41.973919,41.926242,41.879600,41.833510,41.796711,41.763529,41.728636,41.692129,41.662628,41.639682,41.615570,41.592138,41.574562,41.557516,41.540000,41.524110,41.496524,41.469939,41.443916,41.419042,41.396131,41.372544,41.344235,41.315029,41.280756,41.251676,41.222586,41.201257,41.178466,41.158079,41.138371,41.118436,41.093333,41.055249,41.005330,40.954426,40.906141,40.862649,40.819462,40.777540,40.736649,40.693598,40.649737,40.611937,40.570521,40.530570,40.489691,40.448359,40.404592,40.354924,40.310101,40.265729,40.221000,40.176667,40.127574,40.076355,40.024265,39.978537,39.934563,39.889903,39.844231,39.795550,39.742905,39.692607,39.643538,39.595211,39.544907,39.493070,39.438148,39.384470,39.328440,39.272329,39.218000,39.163348,39.106622,39.047534,38.988884,38.934800,38.880310,38.826079,38.770263,38.715895,38.660826,38.609091,38.556293,38.503777,38.454402,38.405660,38.354153,38.306160,38.256681,38.206946,38.156625,38.104108,38.052893,38.001399,37.948361,37.894490,37.841707,37.792065,37.742419,37.693092,37.642920,37.598008,37.553968,37.508024,37.462598,37.418196,37.374805,
2010/1/14,47.500000,47.210000,47.350000,47.480000,47.534000,47.521667,47.530000,47.428750,47.350000,47.282000,47.170000,47.063333,46.979231,46.883571,46.795333,46.689375,46.576471,46.455556,46.327895,46.219000,46.112857,46.036818,45.973043,45.912917,45.829200,45.779231,45.728148,45.688214,45.626552,45.578667,45.532581,45.485625,45.427576,45.360882,45.337143,45.318056,45.292162,45.262105,45.234615,45.219000,45.208049,45.196667,45.194419,45.175455,45.160000,45.146304,45.120851,45.089583,45.051020,45.007400,44.967059,44.913269,44.866981,44.827037,44.786909,44.763036,44.752281,44.743448,44.731356,44.712000,44.703934,44.701452,44.698413,44.692969,44.687692,44.678788,44.662239,44.645000,44.625362,44.602857,44.590704,44.575417,44.550000,44.525811,44.512533,44.495921,44.474935,44.443590,44.418734,44.390875,44.370741,44.353659,44.338916,44.325952,44.311882,44.298605,44.278621,44.253523,44.234944,44.219889,44.198132,44.180761,44.157634,44.128511,44.094947,44.059896,44.025567,43.977449,43.929899,43.878100,43.829307,43.784118,43.742718,43.690192,43.641905,43.596604,43.553364,43.515648,43.485780,43.454545,43.415766,43.378929,43.341593,43.304035,43.266522,43.233879,43.205470,43.176441,43.146723,43.120833,43.097769,43.069262,43.038293,43.008629,42.979280,42.949841,42.921496,42.889609,42.855581,42.819615,42.778550,42.732955,42.697068,42.660000,42.618444,42.580662,42.540438,42.501449,42.463669,42.423786,42.378794,42.333380,42.290420,42.247917,42.203241,42.152329,42.107891,42.060473,42.011007,41.963400,41.916821,41.870789,41.833987,41.800779,41.765871,41.729359,41.699809,41.676772,41.652579,41.629062,41.611366,41.594198,41.576564,41.560549,41.532909,41.506265,41.480180,41.455238,41.432249,41.408588,41.380234,41.350988,41.316705,41.287586,41.258457,41.237045,41.214181,41.193708,41.173911,41.153889,41.128729,41.090659,41.040820,40.990000,40.941784,40.898333,40.855187,40.813298,40.772434,40.729421,40.685602,40.647812,40.606425,40.566495,40.525641,40.484337,40.440609,40.391010,40.346231,40.301900,40.257214,40.212921,40.163892,40.112745,40.060732,40.015049,39.971111,39.926490,39.880861,39.832238,39.779668,39.729434,39.680423,39.632150,39.581907,39.530139,39.475300,39.421697,39.365753,39.309727,39.255475,39.200901,39.144260,39.085268,39.026711,38.972699,38.918282,38.864123,38.808384,38.754087,38.699091,38.647414,38.594678,38.542222,38.492894,38.444195,38.392743,38.344790,38.295356,38.245667,38.195394,38.142934,38.091770,38.040328,37.987347,37.933537,37.880810,37.831210,37.781606,37.732320,37.682191,37.637302,37.593281,37.547362,37.501961,37.457578,
