date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256
2009/12/31,46.67,46.256667,46.073333,46.032,45.901333,45.80381,45.627857,45.437222,45.229778,45.011636,44.86803,44.732949,44.691099,44.674952,44.656833,44.558382,44.555229,44.538889,44.546,44.484476,44.457706,44.430949,44.397536,44.331333,44.241231,44.262621,44.290291,44.295099,44.285425,44.279269,44.29994,44.328428,44.35205,44.39479,44.392857,44.397568,44.404538,44.381228,44.343167,44.287402,44.219907,44.160842,44.070349,43.998778,43.942744,43.886457,43.868271,43.87977,43.89418,43.899506,43.886833,43.899405,43.923501,43.944828,43.959299,43.973008,43.977387,43.963577,43.947791,43.926224,43.897959,43.892944,43.880352,43.844649,43.811781,43.80337,43.787094,43.760801,43.71135,43.676664,43.635368,43.611385,43.59405,43.581676,43.572947,43.561442,43.551405,43.526306,43.489899,43.467926,43.453586,43.424343,43.404716,43.37237,43.326966,43.272093,43.214318,43.158491,43.072969,42.989387,42.897226,42.81234,42.735907,42.668204,42.576783,42.4952,42.420604,42.350895,42.293477,42.25321,42.21001,42.150592,42.095581,42.039665,41.983445,41.927493,41.882169,41.845982,41.808419,41.769348,41.738467,41.713538,41.67681,41.634778,41.595558,41.557001,41.518238,41.481797,41.437768,41.389209,41.336599,41.27324,41.200446,41.148599,41.094335,41.030645,40.975166,40.914621,40.856857,40.801791,40.74237,40.672259,40.601479,40.536124,40.471916,40.403275,40.321633,40.253984,40.180213,40.102337,40.028642,39.957333,39.88737,39.837061,39.794362,39.748044,39.698341,39.663329,39.641952,39.617952,39.595216,39.58456,39.57476,39.563731,39.555863,39.523304,39.492756,39.463287,39.436121,39.412939,39.388212,39.35351,39.316882,39.269647,39.233265,39.196819,39.1765,39.152991,39.134368,39.117007,39.099018,39.070128,39.014149,38.933645,38.851331,38.774705,38.708248,38.642569,38.579652,38.518993,38.453949,38.387348,38.333464,38.272129,38.213934,38.153892,38.093,38.027148,37.949178,37.881438,37.814756,37.747453,37.681088,37.604974,37.524617,37.442641,37.374029,37.309164,37.242972,37.174784,37.100479,37.01811,36.940775,36.866133,36.793161,36.716223,36.636259,36.550075,36.466645,36.378525,36.290426,36.206197,36.121466,36.032615,35.939072,35.846639,35.763825,35.68032,35.597499,35.511549,35.428742,35.344628,35.267533,35.188355,35.109874,35.037981,34.967472,34.891337,34.822543,34.750746,34.678498,34.60512,34.527299,34.452258,34.37673,34.298108,34.217872,34.139982,34.068649,33.997373,33.926817,33.854579,33.79323,33.733694,33.670249,33.607899,33.547674,33.48954,33.446424,33.400875,33.356026,33.303172,33.252832,33.194379,33.136923,33.08006
2010/1/4,46.72,46.686667,46.368333,46.177,46.108,45.974286,45.870714,45.699444,45.513556,45.311091,45.097576,44.951795,44.814396,44.764476,44.740167,44.715441,44.615948,44.606901,44.586211,44.588476,44.525887,44.49668,44.46779,44.432767,44.3664,44.277037,44.295106,44.319581,44.322276,44.311161,44.303589,44.322159,44.348503,44.370303,44.410841,44.408093,44.411878,44.417935,44.394538,44.356756,44.301672,44.235083,44.17667,44.087485,44.016725,43.961119,43.905239,43.886658,43.897192,43.910635,43.915226,43.902199,43.913969,43.937098,43.957558,43.971328,43.984386,43.988305,43.974362,43.958481,43.936917,43.908761,43.903487,43.890764,43.855287,43.822592,43.813986,43.797639,43.77142,43.722366,43.687856,43.646819,43.622851,43.605441,43.59293,43.584023,43.572381,43.562194,43.537139,43.500914,43.47894,43.464508,43.435353,43.415697,43.383472,43.338335,43.283827,43.226438,43.170961,43.086105,43.003146,42.911681,42.82739,42.751445,42.684123,42.593316,42.512228,42.438042,42.368681,42.311479,42.271254,42.228123,42.168928,42.114092,42.058354,42.00231,41.946526,41.901269,41.865064,41.827495,41.788433,41.757487,41.732444,41.695706,41.653711,41.614502,41.575951,41.537196,41.500742,41.456763,41.408292,41.355799,41.292641,41.220119,41.168371,41.114223,41.05072,40.99536,40.93497,40.877336,40.822377,40.763093,40.693196,40.62263,40.557444,40.493394,40.424939,40.343573,40.276094,40.202532,40.124891,40.051396,39.980265,39.910468,39.860188,39.817464,39.771147,39.721467,39.686381,39.66484,39.640697,39.617812,39.606931,39.596907,39.585664,39.577567,39.544939,39.514311,39.484757,39.457493,39.434191,39.409354,39.374606,39.337944,39.29074,39.254324,39.217844,39.197396,39.173779,39.155022,39.137521,39.1194,39.090441,39.03455,38.954271,38.872189,38.79576,38.729439,38.66389,38.601084,38.540523,38.475599,38.409125,38.355297,38.294057,38.235939,38.175982,38.115178,38.049439,37.971644,37.904023,37.837453,37.770262,37.704003,37.628044,37.547861,37.466064,37.397561,37.332785,37.266688,37.198602,37.124429,37.042228,36.965036,36.890521,36.817666,36.740861,36.661044,36.575034,36.491764,36.403823,36.3159,36.231826,36.147251,36.058572,35.965221,35.872972,35.790296,35.70693,35.624243,35.538439,35.455762,35.371782,35.294788,35.21572,35.137343,35.065524,34.995083,34.919039,34.850303,34.778576,34.706399,34.633097,34.555368,34.480408,34.404961,34.326432,34.246294,34.168492,34.097218,34.026002,33.955499,33.883323,33.82199,33.762462,33.699041,33.63671,33.576495,33.518363,33.475189,33.429592,33.384694,33.331823,33.281456,33.223007,33.165551
2010/1/5,46.72,46.72,46.695,46.437,46.254667,46.173333,46.04,45.933333,45.766667,45.585455,45.387879,45.178974,45.031978,44.893048,44.836417,44.805074,44.77451,44.674035,44.659632,44.634905,44.632641,44.568933,44.537355,44.506367,44.469723,44.403077,44.314286,44.329163,44.350552,44.351161,44.338589,44.329583,44.346078,44.370303,44.390286,44.428649,44.425036,44.427854,44.432962,44.409402,44.371812,44.317309,44.251522,44.193677,44.105691,44.035661,43.980426,43.924898,43.905902,43.915475,43.927956,43.931807,43.918407,43.929374,43.951539,43.971134,43.984198,43.996598,44.000045,43.985945,43.969947,43.948361,43.920288,43.91474,43.901869,43.86659,43.834043,43.82523,43.808795,43.782632,43.733948,43.699593,43.658793,43.634825,43.61733,43.604672,43.595578,43.583791,43.573446,43.548423,43.512364,43.490379,43.475846,43.446768,43.427075,43.394959,43.350073,43.295914,43.238894,43.183753,43.099541,43.017186,42.926394,42.842681,42.767208,42.700256,42.610046,42.529439,42.455651,42.386628,42.329635,42.289448,42.246382,42.187403,42.132735,42.07717,42.021296,41.965676,41.920482,41.884257,41.846681,41.807625,41.776614,41.751455,41.714706,41.672745,41.633546,41.594999,41.556249,41.519782,41.475852,41.427464,41.375085,41.312124,41.239868,41.188216,41.134182,41.070861,41.015617,40.955379,40.897873,40.843018,40.783868,40.714181,40.643826,40.578806,40.514911,40.446639,40.365544,40.298231,40.224876,40.147465,40.074167,40.003213,39.93358,39.883327,39.840579,39.794263,39.744606,39.709445,39.687742,39.663458,39.640426,39.629324,39.619076,39.607623,39.599299,39.566603,39.535895,39.506257,39.478896,39.455474,39.430529,39.395735,39.359039,39.311865,39.275414,39.2389,39.218325,39.194602,39.175711,39.158073,39.139819,39.110793,39.054988,38.974932,38.893079,38.816843,38.750656,38.685234,38.62254,38.562075,38.49727,38.430921,38.377147,38.316001,38.257959,38.198086,38.13737,38.071743,37.99412,37.926616,37.860157,37.793078,37.726924,37.651118,37.571106,37.489487,37.421092,37.356405,37.290401,37.222417,37.148373,37.066341,36.989289,36.914899,36.84216,36.765489,36.685817,36.59998,36.516867,36.429103,36.341354,36.257435,36.173014,36.084507,35.991347,35.899279,35.816741,35.733512,35.650958,35.565299,35.482752,35.398905,35.322012,35.243052,35.164779,35.093035,35.02266,34.946707,34.878028,34.806371,34.734265,34.661038,34.583402,34.508521,34.433155,34.354719,34.274679,34.196964,34.125749,34.054591,33.984144,33.912028,33.850711,33.791191,33.727794,33.665483,33.605279,33.547149,33.503918,33.458274,33.413327,33.360438,33.310044,33.2516
2010/1/6,47.58,47.006667,46.863333,46.786,46.540667,46.354762,46.258571,46.121111,46.008889,45.843636,45.664697,45.470128,45.264396,45.11581,44.975083,44.912132,44.874118,44.837895,44.736105,44.716476,44.687706,44.680949,44.61587,44.5818,44.548585,44.510171,44.443016,44.354532,44.36623,44.384538,44.383004,44.368883,44.35836,44.372739,44.39481,44.412928,44.44909,44.444521,44.446295,44.450378,44.426551,44.389037,44.334989,44.269879,44.212493,44.125578,44.056179,44.001233,43.945984,43.926533,43.935128,43.946633,43.94972,43.935912,43.946058,43.967249,43.985965,43.998305,44.010028,44.012978,43.998689,43.98254,43.960898,43.93287,43.927026,43.91398,43.878863,43.846432,43.837391,43.820845,43.79471,43.746362,43.712136,43.671546,43.647558,43.629959,43.61714,43.607845,43.595899,43.585383,43.560373,43.524461,43.50245,43.487804,43.458785,43.439043,43.407019,43.362367,43.308537,43.251866,43.197043,43.11345,43.031675,42.941534,42.858377,42.783359,42.71676,42.627128,42.546986,42.47358,42.404883,42.348089,42.307933,42.264925,42.206153,42.151645,42.096244,42.040533,41.985069,41.939933,41.903684,41.866097,41.827042,41.795963,41.770688,41.733924,41.691993,41.6528,41.614254,41.575506,41.539022,41.495135,41.446827,41.394557,41.331787,41.25979,41.208231,41.154305,41.091162,41.036029,40.975938,40.918555,40.863801,40.804782,40.7353,40.665149,40.600292,40.536547,40.468453,40.387624,40.320474,40.247321,40.170136,40.097031,40.026249,39.956777,39.90655,39.863777,39.81746,39.767825,39.732591,39.710727,39.686302,39.663124,39.651801,39.641333,39.62967,39.621121,39.588357,39.55757,39.527847,39.500389,39.476847,39.451795,39.416954,39.380224,39.333078,39.296592,39.260044,39.239342,39.215512,39.196489,39.178713,39.160328,39.131233,39.075513,38.995676,38.914048,38.838003,38.771948,38.706652,38.644065,38.583695,38.519006,38.452781,38.399061,38.338007,38.280039,38.220249,38.159618,38.094101,38.016649,37.949261,37.88291,37.815941,37.749891,37.674236,37.594394,37.51295,37.444662,37.380062,37.31415,37.246266,37.172351,37.090484,37.013571,36.939306,36.866681,36.790141,36.710613,36.624947,36.54199,36.454401,36.366825,36.283059,36.198791,36.110453,36.017481,35.925595,35.843191,35.760099,35.677677,35.592162,35.509743,35.426028,35.349235,35.270382,35.192213,35.120541,35.050234,34.97437,34.905748,34.834161,34.762125,34.688972,34.611428,34.536626,34.46134,34.382996,34.303054,34.225425,34.15427,34.083169,34.012776,33.940721,33.879419,33.819908,33.756535,33.694243,33.63405,33.575922,33.532634,33.486944,33.441949,33.389043,33.338622
2010/1/7,47.46,47.54,47.13,46.966,46.867333,46.63381,46.447857,46.341667,46.201333,46.084727,45.920606,45.74359,45.551648,45.348762,45.198917,45.056691,44.98817,44.944152,44.902737,44.799619,44.775108,44.74249,44.731449,44.664933,44.6284,44.592963,44.552751,44.484975,44.396644,44.405247,44.420544,44.416875,44.401176,44.389109,44.401381,44.421306,44.437553,44.471525,44.465949,44.466634,44.469652,44.445482,44.40796,44.354273,44.289739,44.232729,44.146782,44.077934,44.023216,43.968188,43.948258,43.955871,43.966394,43.968707,43.954468,43.963784,43.983999,44.001829,44.013435,44.02447,44.026906,44.012401,43.996076,43.974351,43.94634,43.940181,43.92694,43.891957,43.859615,43.85033,43.833654,43.807527,43.759485,43.725366,43.684961,43.660936,43.64322,43.630227,43.620722,43.608605,43.597907,43.572897,43.537114,43.515064,43.500295,43.471323,43.45152,43.419576,43.375141,43.321621,43.265282,43.21076,43.127765,43.046549,42.957037,42.874418,42.799838,42.733579,42.644507,42.564814,42.491778,42.423394,42.366791,42.326661,42.283705,42.225131,42.170777,42.115533,42.059978,42.004663,41.95958,41.923304,41.885703,41.846647,41.815498,41.790105,41.753323,41.711419,41.672228,41.633679,41.59493,41.558427,41.514582,41.466348,41.414184,41.351599,41.279855,41.228384,41.174563,41.111592,41.056568,40.99662,40.939357,40.8847,40.825807,40.756525,40.686576,40.621877,40.558279,40.49036,40.409791,40.342801,40.269846,40.192882,40.119966,40.049354,39.980039,39.929837,39.887039,39.840721,39.791106,39.755797,39.733774,39.709209,39.685886,39.674346,39.663658,39.651788,39.643016,39.610183,39.579317,39.549509,39.521954,39.498294,39.473134,39.438246,39.401481,39.354363,39.317841,39.281258,39.26043,39.236494,39.217339,39.199427,39.18091,39.151748,39.09611,39.016489,38.935083,38.859226,38.7933,38.728128,38.665648,38.605371,38.540797,38.474692,38.421025,38.360062,38.302167,38.242458,38.181912,38.116503,38.03922,37.971946,37.905701,37.838841,37.772893,37.697387,37.617713,37.536442,37.46826,37.403745,37.337924,37.270139,37.196351,37.114648,37.037872,36.96373,36.891218,36.814808,36.735423,36.649926,36.567123,36.479708,36.392304,36.308688,36.224572,36.136402,36.043616,35.95191,35.86964,35.786684,35.704392,35.619019,35.536727,35.453144,35.376449,35.297703,35.219636,35.148038,35.077796,35.002021,34.933457,34.861938,34.789972,34.716892,34.639439,34.564716,34.48951,34.411257,34.331412,34.253869,34.182772,34.111729,34.04139,33.969395,33.908109,33.848606,33.785258,33.722985,33.662802,33.604677,33.561333,33.515597,33.470554,33.417631
2010/1/8,47.75,47.556667,47.568333,47.229,47.059333,46.948095,46.723571,46.538333,46.424667,46.282,46.161667,45.998333,45.822857,45.633143,45.43275,45.281838,45.138301,45.064795,45.015316,44.969095,44.864632,44.835534,44.799239,44.7841,44.716092,44.677123,44.639471,44.597438,44.528943,44.440624,44.44621,44.458561,44.452763,44.435462,44.421825,44.431997,44.449787,44.464157,44.495949,44.489317,44.488873,44.490786,44.466205,44.428596,44.375179,44.311129,44.254415,44.169337,44.100963,44.046416,43.991554,43.971118,43.977743,43.987279,43.988805,43.97411,43.982589,44.001823,44.018763,44.029623,44.039958,44.041864,44.027118,44.010591,43.988755,43.960733,43.954241,43.940784,43.905905,43.873626,43.864081,43.847256,43.821114,43.773351,43.739316,43.699074,43.674995,43.657147,43.643968,43.634241,43.621942,43.611052,43.586027,43.550356,43.528254,43.513352,43.484412,43.464538,43.432659,43.388425,43.335198,43.279173,43.224935,43.142515,43.061838,42.972934,42.890833,42.816675,42.750741,42.662212,42.582953,42.510274,42.442192,42.385769,42.34566,42.302751,42.244367,42.190158,42.135064,42.079658,42.024485,41.97945,41.943144,41.905524,41.866463,41.835242,41.809729,41.772927,41.731045,41.691854,41.653299,41.614546,41.578021,41.534213,41.486051,41.433987,41.371581,41.300084,41.248698,41.194977,41.132174,41.077254,41.017445,40.960297,40.905734,40.846964,40.777878,40.708124,40.64358,40.580125,40.512376,40.432063,40.365229,40.292467,40.215721,40.14299,40.072545,40.003383,39.953204,39.910381,39.86406,39.814464,39.779082,39.7569,39.732196,39.708729,39.696973,39.686067,39.673991,39.664998,39.632096,39.60115,39.571258,39.543607,39.519828,39.494561,39.459626,39.422825,39.375733,39.339175,39.302557,39.281602,39.257561,39.238275,39.220226,39.201579,39.172348,39.116791,39.037382,38.956196,38.880523,38.814725,38.749674,38.687299,38.627113,38.562652,38.496666,38.443051,38.382177,38.324353,38.264724,38.204261,38.138959,38.061841,37.99468,37.928541,37.861788,37.795941,37.720581,37.641073,37.559973,37.491895,37.427465,37.361733,37.294046,37.220384,37.138842,37.062202,36.988181,36.915782,36.839501,36.760256,36.674927,36.592276,36.505033,36.417798,36.334332,36.250365,36.162362,36.069761,35.978232,35.896095,35.813273,35.731111,35.64588,35.563713,35.48026,35.403664,35.325023,35.247057,35.175531,35.105355,35.029668,34.96116,34.88971,34.817813,34.744807,34.667444,34.592799,34.517672,34.439509,34.35976,34.282303,34.211264,34.140278,34.069992,33.998057,33.936787,33.877293,33.813968,33.751714,33.691543,33.63342,33.590021,33.54424,33.499148
2010/1/11,47.87,47.79,47.625,47.607,47.311333,47.142381,47.024286,46.807778,46.624222,46.505273,46.361061,46.237821,46.075275,45.901238,45.713583,45.515515,45.363791,45.219181,45.141263,45.086857,45.036234,44.930474,44.897101,44.857333,44.838308,44.768803,44.72746,44.687635,44.643793,44.574516,44.486109,44.488769,44.498253,44.490353,44.471444,44.456231,44.464324,44.48,44.4925,44.522134,44.514413,44.512813,44.513594,44.488545,44.450783,44.397558,44.33391,44.277423,44.193127,44.125161,44.070732,44.015987,43.995024,44.00066,44.009208,44.009937,43.994767,44.002402,44.020655,44.036699,44.046806,44.056431,44.057793,44.042784,44.026033,44.004062,43.976001,43.96916,43.95547,43.920668,43.888427,43.878607,43.861618,43.835441,43.78793,43.753958,43.713856,43.689708,43.671715,43.65834,43.64838,43.635889,43.624796,43.599742,43.564167,43.542002,43.526957,43.498036,43.47808,43.446254,43.402205,43.349254,43.293526,43.239557,43.157691,43.077532,42.989215,42.907615,42.833863,42.768242,42.680237,42.601397,42.529063,42.461271,42.405021,42.364927,42.322058,42.263855,42.209785,42.154834,42.099569,42.044532,41.99954,41.963201,41.925559,41.88649,41.855193,41.82956,41.792734,41.750871,41.711676,41.673112,41.634352,41.597803,41.554028,41.505933,41.453965,41.391733,41.320476,41.269171,41.215547,41.152907,41.098088,41.038412,40.981377,40.926904,40.868253,40.799358,40.729795,40.665401,40.602086,40.534504,40.454442,40.38776,40.315188,40.238654,40.166105,40.095822,40.026811,39.976654,39.933804,39.887479,39.837902,39.802445,39.780106,39.755264,39.731653,39.719682,39.708561,39.696281,39.687068,39.654098,39.623072,39.593095,39.565347,39.541451,39.516076,39.481093,39.444257,39.39719,39.360594,39.32394,39.30286,39.278713,39.259296,39.241112,39.222335,39.193036,39.137557,39.058358,38.977387,38.901896,38.836224,38.771291,38.709019,38.648923,38.584573,38.518704,38.465139,38.404352,38.346598,38.287048,38.226666,38.16147,38.084516,38.017465,37.95143,37.884782,37.819035,37.74382,37.664476,37.583545,37.515569,37.451222,37.385579,37.317989,37.24445,37.163068,37.086563,37.012662,36.940372,36.864219,36.785114,36.69995,36.61745,36.530377,36.44331,36.359992,36.276174,36.188335,36.095917,36.004564,35.922559,35.839869,35.757835,35.672744,35.590703,35.507378,35.430879,35.352343,35.274478,35.203023,35.132912,35.057313,34.988861,34.917478,34.84565,34.772716,34.695444,34.620876,34.545827,34.467754,34.388101,34.310728,34.239747,34.168818,34.098585,34.026709,33.965455,33.90597,33.842668,33.780434,33.720273,33.662153,33.618699,33.572872
2010/1/12,47.63,47.79,47.77,47.646,47.624,47.365714,47.204286,47.085556,46.878444,46.698727,46.577273,46.433077,46.308352,46.147238,45.975083,45.789779,45.594248,45.442222,45.297,45.215381,45.15671,45.102213,44.995362,44.958133,44.9152,44.892593,44.821693,44.778128,44.736253,44.690688,44.620645,44.532121,44.531996,44.538739,44.52881,44.508333,44.491579,44.497652,44.511269,44.521939,44.549466,44.540653,44.537896,44.537545,44.512,44.474043,44.420957,44.357653,44.301347,44.217765,44.150158,44.095813,44.041153,44.019657,44.024312,44.03188,44.031815,44.01616,44.022955,44.040235,44.055389,44.064741,44.073656,44.074466,44.059179,44.042189,44.020066,43.991948,43.984749,43.970813,43.936068,43.903847,43.893743,43.876577,43.850351,43.803069,43.769144,43.729166,43.704937,43.68679,43.67321,43.663012,43.650321,43.63902,43.613926,43.578434,43.556196,43.541001,43.51209,43.492044,43.46026,43.416384,43.363695,43.308249,43.254535,43.173204,43.093547,43.005799,42.924683,42.851323,42.786003,42.698508,42.620075,42.548073,42.480562,42.424477,42.384394,42.341561,42.283533,42.229595,42.174781,42.119652,42.064746,42.019794,41.983418,41.945753,41.906672,41.8753,41.849545,41.812693,41.770845,41.731645,41.69307,41.654301,41.617724,41.573981,41.52595,41.474075,41.412012,41.340989,41.289762,41.236231,41.17375,41.119028,41.059484,41.002557,40.948172,40.889637,40.820928,40.751553,40.687306,40.624127,40.556708,40.476892,40.410359,40.337973,40.261649,40.189278,40.119154,40.050291,40.000156,39.957278,39.91095,39.861389,39.825859,39.803364,39.778384,39.754631,39.742448,39.731113,39.71863,39.709199,39.67616,39.645055,39.614995,39.58715,39.563137,39.537656,39.502624,39.465752,39.418708,39.382076,39.345385,39.324181,39.299929,39.280381,39.262062,39.243157,39.213788,39.158387,39.079394,38.998636,38.923324,38.857775,38.79296,38.730789,38.670781,38.60654,38.540787,38.487271,38.42657,38.368885,38.309412,38.249111,38.184018,38.107226,38.040284,37.974352,37.907808,37.842158,37.767087,37.687904,37.60714,37.539266,37.475001,37.409446,37.341951,37.268535,37.187311,37.110938,37.037156,36.964976,36.888948,36.809981,36.724981,36.642631,36.555727,36.468825,36.385654,36.301983,36.214307,36.122071,36.030892,35.949017,35.86646,35.784553,35.6996,35.617683,35.534485,35.458083,35.379651,35.301886,35.230502,35.160455,35.084943,35.016547,34.945231,34.873472,34.80061,34.723426,34.648935,34.573965,34.495981,34.416422,34.339134,34.26821,34.197337,34.127158,34.055341,33.994103,33.934626,33.871348,33.809133,33.748983,33.690866,33.647357
2010/1/13,46.92,47.393333,47.631667,47.679,47.606,47.598571,47.378929,47.2325,47.12,46.925455,46.752879,46.632436,46.490659,46.366571,46.20825,46.039044,45.856928,45.66462,45.513158,45.368095,45.283723,45.22166,45.164022,45.0565,45.016,44.97037,44.94463,44.872586,44.82708,44.783398,44.73631,44.665625,44.577059,44.57437,44.578571,44.566757,44.544822,44.526626,44.530795,44.542463,44.551394,44.57691,44.567051,44.563182,44.561739,44.535708,44.497553,44.444592,44.381608,44.325467,44.242564,44.175298,44.121027,44.066444,44.044429,44.048133,44.054749,44.05391,44.03778,44.043754,44.060085,44.074368,44.082981,44.091197,44.091464,44.075898,44.058665,44.036385,44.008203,44.000648,43.986463,43.951766,43.919556,43.909168,43.891821,43.86554,43.818475,43.784589,43.744725,43.72041,43.702108,43.688322,43.677886,43.664994,43.653483,43.628345,43.592928,43.570615,43.555268,43.526361,43.506223,43.474476,43.430764,43.378327,43.323154,43.269686,43.188876,43.109707,43.022513,42.941869,42.868891,42.803864,42.716867,42.638832,42.567155,42.499919,42.443994,42.403921,42.361123,42.303265,42.249456,42.194776,42.13978,42.085001,42.040087,42.003675,41.965986,41.926894,41.895445,41.86957,41.832692,41.79086,41.751652,41.713066,41.674287,41.637684,41.59397,41.546002,41.494217,41.432321,41.361528,41.310377,41.256939,41.194614,41.139987,41.080571,41.023751,40.969453,40.911032,40.842507,40.773316,40.709214,40.646169,40.578912,40.499338,40.432952,40.36075,40.284633,40.212438,40.142472,40.073755,40.02364,39.980736,39.934404,39.88486,39.849257,39.826608,39.801494,39.7776,39.765207,39.753662,39.740979,39.731332,39.698225,39.667042,39.636898,39.608959,39.584829,39.559243,39.524164,39.487255,39.440235,39.403565,39.366839,39.345511,39.321155,39.301479,39.283027,39.263993,39.234557,39.179232,39.100443,39.019894,38.94476,38.879333,38.814634,38.752563,38.692642,38.628509,38.56287,38.509403,38.448787,38.391171,38.331774,38.271552,38.206562,38.12993,38.063096,37.997265,37.930825,37.865272,37.790343,37.71132,37.630722,37.562948,37.498765,37.433296,37.365896,37.292602,37.211535,37.135294,37.061629,36.989558,36.913655,36.834825,36.749988,36.667786,36.581048,36.494311,36.411286,36.327761,36.240247,36.148191,36.057185,35.97544,35.893014,35.811233,35.726418,35.644624,35.561553,35.485247,35.406918,35.329252,35.25794,35.187957,35.112531,35.044191,34.972942,34.901251,34.828461,34.751366,34.676951,34.602058,34.524164,34.444699,34.367495,34.296628,34.225812,34.155685,34.083927,34.022705,33.963237,33.899984,33.837788,33.777649,33.719535
2010/1/14,47.5,47.113333,47.371667,47.571,47.630667,47.581905,47.581429,47.39,47.256,47.149455,46.966212,46.800641,46.681978,46.543048,46.420167,46.264853,46.098758,45.919942,45.730947,45.580381,45.435801,45.349209,45.284275,45.223933,45.115938,45.072536,45.024497,44.995911,44.922851,44.87557,44.830222,44.781723,44.710446,44.621849,44.616746,44.618544,44.604936,44.581606,44.562026,44.564366,44.574158,44.581406,44.604979,44.594091,44.58913,44.586614,44.560089,44.521718,44.468849,44.406149,44.350143,44.267874,44.200915,44.1467,44.092175,44.069643,44.072414,44.078095,44.076492,44.059885,44.06505,44.080445,44.093869,44.10175,44.109273,44.108996,44.093143,44.075661,44.053213,44.024954,44.017038,44.002599,43.967934,43.935723,43.925046,43.907512,43.881166,43.834301,43.800443,43.760679,43.736272,43.717808,43.703812,43.693134,43.680038,43.668313,43.643124,43.607773,43.585378,43.569875,43.540965,43.520729,43.489012,43.445454,43.393257,43.338344,43.285113,43.204807,43.126111,43.039455,42.95927,42.886663,42.821919,42.735407,42.657757,42.586397,42.519427,42.463658,42.423591,42.380824,42.323131,42.269447,42.214895,42.160027,42.105372,42.060494,42.024045,41.98633,41.947224,41.9157,41.889705,41.852799,41.81098,41.771764,41.733164,41.694374,41.657744,41.614058,41.566149,41.514452,41.452718,41.382151,41.331074,41.277725,41.215552,41.161019,41.101729,41.045013,40.990799,40.932489,40.864144,40.795135,40.731175,40.668262,40.601163,40.521827,40.455587,40.383565,40.307651,40.235629,40.165818,40.097245,40.047151,40.00422,39.957884,39.908357,39.872682,39.849881,39.824632,39.800599,39.787999,39.776245,39.763364,39.753505,39.72033,39.689069,39.658842,39.630808,39.606563,39.580872,39.545746,39.508801,39.461803,39.425097,39.388334,39.366884,39.342425,39.322621,39.304037,39.284876,39.255372,39.200122,39.121534,39.041193,38.966234,38.900926,38.836342,38.77437,38.714535,38.650508,38.584982,38.531563,38.471031,38.413482,38.354161,38.294017,38.229128,38.152654,38.085928,38.020197,37.953858,37.888402,37.813613,37.734749,37.654314,37.58664,37.522538,37.457154,37.389848,37.316674,37.235762,37.159652,37.086104,37.01414,36.938361,36.859666,36.77499,36.692936,36.606364,36.51979,36.436909,36.353529,36.266176,36.174299,36.083464,36.001848,35.919551,35.837896,35.753218,35.671545,35.588601,35.51239,35.434164,35.356597,35.285354,35.215436,35.140096,35.071811,35.000629,34.929006,34.856286,34.77928,34.704942,34.630126,34.55232,34.472949,34.395828,34.325018,34.254258,34.184185,34.112485,34.051279,33.99182,33.92859,33.866414,33.806286
