date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,
2009/12/31,46.670000,46.443260,46.295092,46.169140,46.053210,45.945700,45.846631,45.755855,45.672915,45.597167,45.527897,45.464391,45.405981,45.352056,45.302072,45.255546,45.212055,45.171227,45.132735,45.096292,45.061646,45.028572,44.996872,44.966372,44.936914,44.908359,44.880584,44.853479,44.826944,44.800893,44.775246,44.749934,44.724893,44.700070,44.675413,44.650879,44.626429,44.602026,44.577641,44.553246,44.528816,44.504328,44.479764,44.455106,44.430341,44.405453,44.380429,44.355264,44.329938,44.304449,44.278786,44.252950,44.226935,44.200742,44.174334,44.147721,44.120908,44.093888,44.066679,44.039317,44.011713,43.983880,43.955783,43.927507,43.899006,43.870300,43.841476,43.812258,43.782824,43.753185,43.723302,43.693256,43.662841,43.632490,43.601784,43.570785,43.539662,43.508365,43.476846,43.445383,43.413753,43.381794,43.348873,43.315193,43.281328,43.247386,43.213263,43.179083,43.144433,43.110370,43.075730,43.041436,43.006119,42.970772,42.934709,42.898633,42.862653,42.826509,42.790182,42.753781,42.715375,42.677891,42.640022,42.602098,42.564960,42.527291,42.489201,42.452291,42.415991,42.378590,42.340883,42.303983,42.268584,42.232231,42.195959,42.159911,42.123083,42.085690,42.050155,42.012181,41.974343,41.936813,41.899791,41.862247,41.823270,41.784323,41.745934,41.707652,41.668397,41.630554,41.590713,41.551119,41.514670,41.475201,41.434747,41.394422,41.353651,41.312002,41.271266,41.230271,41.189359,41.148808,41.107127,41.063923,41.022680,40.982291,40.940932,40.899453,40.859637,40.820823,40.781080,40.741212,40.701168,40.661935,40.619394,40.577782,40.539484,40.501779,40.463750,40.426440,40.390153,40.348526,40.310611,40.273323,40.236449,40.197184,40.158956,40.114991,40.074137,40.032530,39.989436,39.944851,39.899223,39.856643,39.810508,39.767285,39.726060,39.681479,39.635325,39.590991,39.546168,39.502413,39.459351,39.417139,39.377476,39.335099,39.295970,39.251475,39.207446,39.163113,39.123835,39.082938,39.037969,38.993935,38.954611,38.912275,38.869706,38.827470,38.782670,38.738176,38.694639,38.650412,38.606662,38.565229,38.526942,38.484195,38.441799,38.400833,38.364132,38.330651,38.294275,38.259967,38.226926,38.188242,38.152767,38.115145,38.076101,38.036509,37.994442,37.954860,37.916169,37.872408,37.833862,37.794073,37.755770,37.720050,37.683428,37.645473,37.606488,37.569606,37.542160,37.507262,37.470787,37.435331,37.400265,37.367675,37.329160,37.294990,37.259364,37.229668,37.192387,37.157676,37.124333,37.094116,37.061261,37.030150,36.996029,36.960744,36.924605,36.886468,36.849755,36.811082,36.774591,36.736830,36.695137,0.000000,
2010/1/4,46.720000,46.627753,46.507546,46.389484,46.275473,46.166929,46.064973,45.970109,45.882332,45.801319,45.726581,45.657562,45.593698,45.534449,45.479313,45.427835,45.379604,45.334255,45.291461,45.250931,45.212405,45.175653,45.140466,45.106662,45.074074,45.042555,45.011971,44.982204,44.953148,44.924706,44.896793,44.869332,44.842253,44.815494,44.789001,44.762724,44.736617,44.710640,44.684759,44.658941,44.633158,44.607383,44.581593,44.555768,44.529891,44.503945,44.477911,44.451784,44.425541,44.399177,44.372679,44.346046,44.319271,44.292351,44.265250,44.237976,44.210532,44.182909,44.155123,44.127209,44.099077,44.070741,44.042165,44.013430,43.984491,43.955366,43.926139,43.896541,43.866744,43.836757,43.806543,43.776181,43.745467,43.714824,43.683842,43.652582,43.621209,43.589673,43.557924,43.526238,43.494393,43.462233,43.429138,43.395306,43.361297,43.327216,43.292961,43.258654,43.223890,43.189703,43.154954,43.120545,43.085138,43.049704,43.013569,42.977424,42.941374,42.905166,42.868779,42.832320,42.793897,42.756378,42.718483,42.680535,42.643357,42.605660,42.567549,42.530598,42.494246,42.456814,42.419081,42.382143,42.346679,42.310279,42.273959,42.237861,42.200997,42.163577,42.127985,42.089996,42.052140,42.014589,41.977537,41.939971,41.900996,41.862050,41.823654,41.785363,41.746114,41.708256,41.668429,41.628846,41.592362,41.552901,41.512471,41.472167,41.431424,41.389815,41.349105,41.308139,41.267255,41.226726,41.185084,41.141938,41.100726,41.060355,41.019028,40.977581,40.937775,40.898958,40.859223,40.819366,40.779334,40.740103,40.697607,40.656026,40.617719,40.579995,40.541953,40.504621,40.468299,40.426704,40.388774,40.351465,40.314564,40.275302,40.237063,40.193156,40.152324,40.110746,40.067699,40.023177,39.977623,39.935081,39.889025,39.845846,39.804644,39.760122,39.714044,39.669765,39.625001,39.581294,39.538271,39.496088,39.456428,39.414082,39.374949,39.330507,39.286525,39.242242,39.202962,39.162078,39.117166,39.073176,39.033849,38.991541,38.949002,38.906792,38.862043,38.817597,38.774098,38.729916,38.686205,38.644788,38.606486,38.563768,38.521397,38.480442,38.443712,38.410170,38.373763,38.339404,38.306301,38.267608,38.232093,38.194453,38.155403,38.115810,38.073765,38.034183,37.995482,37.951759,37.913202,37.873414,37.835099,37.799345,37.762696,37.724727,37.685736,37.648830,37.621280,37.586341,37.549840,37.514349,37.479246,37.446597,37.408075,37.373860,37.338203,37.308426,37.271127,37.236378,37.202986,37.172695,37.139788,37.108611,37.074448,37.039132,37.002968,36.964823,36.928090,36.889413,36.852901,36.815130,36.773456,36.734102,
2010/1/5,46.720000,46.689251,46.613773,46.521690,46.423649,46.324949,46.228730,46.136752,46.049866,45.968352,45.892150,45.821014,45.754598,45.692522,45.634399,45.579854,45.528537,45.480123,45.434315,45.390842,45.349459,45.309944,45.272094,45.235729,45.200684,45.166810,45.133973,45.102052,45.070938,45.040532,45.010744,44.981493,44.952708,44.924323,44.896279,44.868522,44.841005,44.813684,44.786521,44.759481,44.732532,44.705644,44.678793,44.651956,44.625113,44.598245,44.571332,44.544364,44.517319,44.490189,44.462960,44.435629,44.408187,44.380629,44.352920,44.325065,44.297065,44.268912,44.240619,44.212218,44.183623,44.154845,44.125847,44.096709,44.067385,44.037892,44.008311,43.978380,43.948265,43.917975,43.887473,43.856833,43.825860,43.794962,43.763741,43.732256,43.700665,43.668921,43.636976,43.605096,43.573066,43.540733,43.507492,43.473534,43.439407,43.405211,43.370848,43.336437,43.301581,43.267292,43.232455,43.197953,43.162475,43.126973,43.090786,43.054591,43.018489,42.982233,42.945803,42.909304,42.870879,42.833342,42.795436,42.757477,42.720275,42.682563,42.644446,42.607468,42.571078,42.533628,42.495883,42.458919,42.423404,42.386970,42.350615,42.314479,42.277590,42.240156,42.204519,42.166525,42.128663,42.091100,42.054028,42.016452,41.977488,41.938553,41.900159,41.861869,41.822635,41.784771,41.744968,41.705405,41.668894,41.629451,41.589053,41.548778,41.508070,41.466508,41.425832,41.384903,41.344054,41.303555,41.261958,41.218877,41.177702,41.137357,41.096068,41.054661,41.014871,40.976058,40.936339,40.896499,40.856486,40.817263,40.774817,40.733274,40.694963,40.657228,40.619178,40.581830,40.545481,40.503922,40.465984,40.428659,40.391738,40.352484,40.314241,40.270397,40.229590,40.188048,40.145051,40.100597,40.055121,40.012623,39.966650,39.923520,39.882344,39.837886,39.791888,39.747668,39.702968,39.659312,39.616333,39.574185,39.534531,39.492220,39.453088,39.408703,39.364772,39.320543,39.281264,39.240399,39.195545,39.151605,39.112280,39.070003,39.027497,38.985317,38.940623,38.896228,38.852771,38.808636,38.764967,38.723571,38.685258,38.642572,38.600230,38.559289,38.522533,38.488937,38.452501,38.418095,38.384934,38.346234,38.310685,38.273029,38.233978,38.194387,38.152368,38.112787,38.074082,38.030397,37.991834,37.952051,37.913726,37.877941,37.841269,37.803288,37.764295,37.727369,37.699717,37.664742,37.628217,37.592695,37.557557,37.524854,37.486326,37.452071,37.416385,37.386531,37.349217,37.314432,37.280995,37.250632,37.217676,37.186436,37.152235,37.116890,37.080705,37.042553,37.005804,36.967125,36.930595,36.892815,36.851164,36.811813,
2010/1/6,47.580000,47.283084,47.096886,46.945014,46.809099,46.683535,46.566547,46.457474,46.355892,46.261379,46.173459,46.091627,46.015370,45.944186,45.877599,45.815165,45.756477,45.701163,45.648884,45.599334,45.552236,45.507340,45.464420,45.423271,45.383708,45.345565,45.308689,45.272945,45.238209,45.204368,45.171322,45.138979,45.107255,45.076076,45.045375,45.015089,44.985163,44.955547,44.926195,44.897067,44.868125,44.839335,44.810666,44.782091,44.753587,44.725128,44.696693,44.668267,44.639826,44.611358,44.582846,44.554285,44.525661,44.496970,44.468173,44.439273,44.410270,44.381152,44.351931,44.322637,44.293184,44.263580,44.233789,44.203887,44.173828,44.143627,44.113361,44.082775,44.052029,44.021131,43.990043,43.958838,43.927323,43.895896,43.864169,43.832197,43.800135,43.767936,43.735552,43.703242,43.670796,43.638065,43.604457,43.570157,43.535700,43.501183,43.466511,43.431798,43.396657,43.362076,43.326966,43.292190,43.256465,43.220721,43.184312,43.147898,43.111581,43.075117,43.038487,43.001793,42.963215,42.925510,42.887446,42.849334,42.811968,42.774104,42.735845,42.698707,42.662149,42.624553,42.586671,42.549558,42.513870,42.477283,42.440777,42.404488,42.367461,42.329901,42.294110,42.256004,42.218029,42.180350,42.143157,42.105468,42.066417,42.027395,41.988906,41.950522,41.911210,41.873248,41.833378,41.793745,41.757119,41.717607,41.677155,41.636825,41.596069,41.554472,41.513749,41.472777,41.431884,41.391338,41.349708,41.306616,41.265405,41.225012,41.183689,41.142249,41.102406,41.063527,41.023755,40.983865,40.943804,40.904524,40.862063,40.820494,40.782115,40.744307,40.706189,40.668764,40.632327,40.590745,40.552741,40.515342,40.478344,40.439041,40.400738,40.356901,40.316066,40.274503,40.231504,40.187064,40.141614,40.099107,40.053165,40.010034,39.968835,39.924390,39.878422,39.834213,39.789529,39.745877,39.702895,39.660734,39.621041,39.578721,39.539544,39.495172,39.451248,39.407030,39.367709,39.326820,39.281983,39.238050,39.198685,39.156399,39.113886,39.071695,39.027016,38.982634,38.939179,38.895053,38.851389,38.809975,38.771614,38.728924,38.686574,38.645612,38.608795,38.575108,38.538609,38.504123,38.470869,38.432130,38.396512,38.358808,38.319721,38.280101,38.238073,38.198463,38.159721,38.116044,38.077443,38.037633,37.999269,37.963421,37.926696,37.888674,37.849649,37.812673,37.784892,37.749851,37.713275,37.677694,37.642493,37.609708,37.571147,37.536823,37.501081,37.471124,37.433769,37.398923,37.365413,37.334954,37.301922,37.270594,37.236330,37.200931,37.164699,37.126517,37.089726,37.051021,37.014448,36.976636,36.934983,36.895612,
2010/1/7,47.460000,47.401028,47.278443,47.151009,47.026066,46.905382,46.789910,46.680257,46.576714,46.479310,46.387882,46.302146,46.221746,46.146295,46.075399,46.008675,45.945758,45.886304,45.829995,45.776540,45.725669,45.677136,45.630718,45.586209,45.543423,45.502190,45.462354,45.423777,45.386328,45.349893,45.314364,45.279647,45.245652,45.212301,45.179521,45.147246,45.115417,45.083980,45.052885,45.022088,44.991548,44.961226,44.931090,44.901109,44.871257,44.841506,44.811831,44.782216,44.752633,44.723070,44.693506,44.663935,44.634341,44.604717,44.575024,44.545264,44.515433,44.485520,44.455534,44.425502,44.395339,44.365053,44.334608,44.304075,44.273409,44.242623,44.211791,44.180665,44.149400,44.118001,44.086431,44.054760,44.022801,43.990939,43.958796,43.926426,43.893978,43.861406,43.828663,43.796001,43.763216,43.730160,43.696255,43.661682,43.626962,43.592190,43.557272,43.522319,43.486953,43.452141,43.416815,43.381821,43.345902,43.309969,43.273388,43.236807,43.200324,43.163701,43.126917,43.090075,43.051387,43.013558,42.975380,42.937157,42.899667,42.861691,42.823329,42.786070,42.749383,42.711679,42.673695,42.636468,42.600645,42.563939,42.527315,42.490907,42.453776,42.416121,42.380208,42.342021,42.303963,42.266198,42.228912,42.191141,42.152029,42.112948,42.074392,42.035941,41.996576,41.958542,41.918630,41.878952,41.842237,41.802680,41.762197,41.721835,41.681053,41.639444,41.598695,41.557702,41.516788,41.476214,41.434573,41.391491,41.350262,41.309842,41.268504,41.227051,41.187174,41.148249,41.108443,41.068520,41.028430,40.989111,40.946652,40.905074,40.866645,40.828781,40.790611,40.753127,40.716619,40.675030,40.636975,40.599520,40.562460,40.523124,40.484777,40.440962,40.400112,40.358544,40.315556,40.271144,40.225733,40.183232,40.137334,40.094215,40.053005,40.008587,39.962662,39.918476,39.873820,39.830184,39.787211,39.745050,39.705331,39.663012,39.623804,39.579456,39.535551,39.491354,39.452004,39.411101,39.366292,39.322378,39.282984,39.240699,39.198190,39.156000,39.111346,39.066986,39.023543,38.979437,38.935787,38.894365,38.855968,38.813282,38.770934,38.729960,38.693092,38.659325,38.622774,38.588215,38.554879,38.516110,38.480433,38.442690,38.403577,38.363936,38.321909,38.282278,38.243507,38.199846,38.161216,38.121387,38.082992,38.047092,38.010322,37.972267,37.933217,37.896199,37.868298,37.833200,37.796581,37.760947,37.725692,37.692832,37.654247,37.619862,37.584072,37.554019,37.516631,37.481730,37.448155,37.417607,37.384508,37.353099,37.318779,37.283333,37.247061,37.208856,37.172030,37.133306,37.096697,37.058858,37.017210,36.977825,
2010/1/8,47.750000,47.633676,47.514222,47.390605,47.267377,47.146702,47.029933,46.917978,46.811371,46.710344,46.614902,46.524893,46.440068,46.360122,46.284724,46.213537,46.146229,46.082482,46.021996,45.964489,45.909699,45.857385,45.807325,45.759312,45.713160,45.668694,45.625758,45.584206,45.543907,45.504739,45.466592,45.429365,45.392966,45.357312,45.322325,45.287935,45.254080,45.220699,45.187741,45.155157,45.122903,45.090937,45.059223,45.027727,44.996420,44.965271,44.934254,44.903350,44.872528,44.841773,44.811064,44.780390,44.749735,44.719091,44.688416,44.657710,44.626970,44.596180,44.565349,44.534502,44.503554,44.472512,44.441339,44.410104,44.378760,44.347321,44.315856,44.284124,44.252274,44.220310,44.188197,44.155999,44.123536,44.091180,44.058564,44.025739,43.992850,43.959851,43.926697,43.893631,43.860454,43.827024,43.792773,43.757878,43.722847,43.687772,43.652561,43.617324,43.581688,43.546599,43.511015,43.475760,43.439606,43.403443,43.366651,43.329863,43.293175,43.256353,43.219379,43.182350,43.143517,43.105528,43.067200,43.028830,42.991182,42.953061,42.914564,42.877151,42.840303,42.802459,42.764343,42.726973,42.690984,42.654132,42.617362,42.580806,42.543542,42.505766,42.469705,42.431409,42.393242,42.355365,42.317962,42.280083,42.240886,42.201720,42.163074,42.124531,42.085090,42.046961,42.006984,41.967238,41.930412,41.890788,41.850253,41.809837,41.769009,41.727365,41.686571,41.645536,41.604579,41.563960,41.522288,41.479194,41.437930,41.397463,41.356092,41.314607,41.274679,41.235689,41.195832,41.155860,41.115723,41.076348,41.033874,40.992270,40.953776,40.915840,40.877604,40.840045,40.803451,40.761840,40.723720,40.686192,40.649057,40.609674,40.571268,40.527459,40.486581,40.444994,40.402003,40.357605,40.312219,40.269709,40.223842,40.180721,40.139488,40.095083,40.049188,40.005012,39.960371,39.916740,39.873763,39.831590,39.791833,39.749504,39.710253,39.665916,39.622019,39.577832,39.538442,39.497515,39.452722,39.408815,39.369382,39.327088,39.284572,39.242372,39.197733,39.153384,39.109944,39.065846,39.022201,38.980762,38.942318,38.899627,38.857271,38.816276,38.779348,38.745492,38.708879,38.674242,38.640815,38.602007,38.566263,38.528471,38.489324,38.449653,38.407619,38.367959,38.329151,38.285498,38.246830,38.206975,38.168541,38.132580,38.095758,38.057662,38.018581,37.981514,37.953485,37.918323,37.881653,37.845961,37.810644,37.777703,37.739085,37.704633,37.668788,37.638633,37.601204,37.566242,37.532596,37.501953,37.468780,37.437285,37.402901,37.367403,37.331085,37.292849,37.255982,37.217232,37.180581,37.142710,37.101060,37.061655,
2010/1/11,47.870000,47.791225,47.692111,47.582363,47.468252,47.353358,47.239950,47.129538,47.023097,46.921191,46.824085,46.731832,46.644344,46.561439,46.482884,46.408415,46.337759,46.270642,46.206796,46.145966,46.087908,46.032395,45.979214,45.928167,45.879070,45.831754,45.786061,45.741847,45.698979,45.657336,45.616805,45.577282,45.538674,45.500894,45.463862,45.427507,45.391760,45.356561,45.321854,45.287588,45.253717,45.220196,45.186985,45.154050,45.121358,45.088877,45.056577,45.024438,44.992427,44.960527,44.928715,44.896979,44.865301,44.833669,44.802044,44.770422,44.738798,44.707157,44.675504,44.643862,44.612149,44.580369,44.548485,44.516562,44.484555,44.452476,44.420390,44.388063,44.355638,44.323119,44.290469,44.257753,44.224792,44.191949,44.158865,44.125590,44.092264,44.058843,44.025279,43.991813,43.958248,43.924445,43.889850,43.854634,43.819293,43.783915,43.748412,43.712889,43.676984,43.641619,43.605775,43.570260,43.533870,43.497476,43.460471,43.423474,43.386579,43.349558,43.312391,43.275175,43.236193,43.198042,43.159561,43.121043,43.083235,43.044967,43.006331,42.968763,42.931752,42.893766,42.855516,42.818000,42.781844,42.744842,42.707924,42.671220,42.633821,42.595921,42.559710,42.521303,42.483025,42.445034,42.407511,42.369521,42.330237,42.290984,42.252244,42.213608,42.174089,42.135862,42.095817,42.056002,42.019063,41.979369,41.938778,41.898307,41.857429,41.815748,41.774906,41.733827,41.692825,41.652156,41.610450,41.567343,41.526040,41.485525,41.444117,41.402599,41.362616,41.323561,41.283650,41.243626,41.203441,41.164008,41.121517,41.079884,41.041324,41.003314,40.965008,40.927374,40.890692,40.849057,40.810869,40.773269,40.736056,40.696624,40.658158,40.614353,40.573445,40.531836,40.488840,40.444453,40.399090,40.356570,40.310730,40.267605,40.226348,40.181953,40.136086,40.091918,40.047290,40.003661,39.960679,39.918492,39.878695,39.836354,39.797059,39.752732,39.708840,39.664661,39.625229,39.584276,39.539498,39.495597,39.456123,39.413818,39.371293,39.329082,39.284455,39.240116,39.196677,39.152587,39.108944,39.067486,39.028994,38.986298,38.943932,38.902915,38.865926,38.831981,38.795305,38.760587,38.727069,38.688221,38.652408,38.614568,38.575385,38.535684,38.493641,38.453950,38.415104,38.371458,38.332751,38.292868,38.254394,38.218372,38.181496,38.143359,38.104245,38.067128,38.038972,38.003745,37.967023,37.931271,37.895893,37.862870,37.824219,37.789699,37.753799,37.723541,37.686070,37.651047,37.617329,37.586590,37.553343,37.521760,37.487313,37.451761,37.415396,37.377129,37.340220,37.301444,37.264750,37.226846,37.185192,37.145767,
2010/1/12,47.630000,47.683742,47.661055,47.601418,47.522168,47.432399,47.337462,47.240752,47.144478,47.050065,46.958404,46.870012,46.785152,46.703914,46.626273,46.552131,46.481341,46.413732,46.349117,46.287302,46.228098,46.171318,46.116780,46.064314,46.013757,45.964957,45.917771,45.872064,45.827714,45.784605,45.742629,45.701689,45.661693,45.622557,45.584203,45.546560,45.509562,45.473147,45.437261,45.401852,45.366873,45.332280,45.298031,45.264092,45.230429,45.197010,45.163803,45.130787,45.097930,45.065212,45.032611,45.000112,44.967697,44.935354,44.903042,44.870758,44.838495,44.806237,44.773987,44.741768,44.709499,44.677182,44.644782,44.612360,44.579872,44.547327,44.514790,44.482032,44.449191,44.416270,44.383234,44.350143,44.316825,44.283630,44.250211,44.216614,44.182975,44.149252,44.115397,44.081645,44.047803,44.013735,43.978901,43.943466,43.907914,43.872331,43.836630,43.800914,43.764828,43.729276,43.693258,43.657566,43.621022,43.584476,43.547336,43.510206,43.473180,43.436032,43.398744,43.361409,43.322346,43.284099,43.245531,43.206927,43.169023,43.130668,43.091955,43.054290,43.017175,42.979104,42.940774,42.903168,42.866899,42.829802,42.792788,42.755985,42.718502,42.680528,42.644215,42.605744,42.567402,42.529343,42.491745,42.453689,42.414360,42.375063,42.336272,42.297583,42.258026,42.219742,42.179669,42.139821,42.102808,42.063082,42.022473,41.981981,41.941090,41.899407,41.858550,41.817460,41.776447,41.735762,41.694055,41.650966,41.609656,41.569123,41.527710,41.486188,41.446181,41.407090,41.367154,41.327108,41.286903,41.247441,41.204959,41.163325,41.124725,41.086669,41.048321,41.010636,40.973893,40.932258,40.894029,40.856381,40.819116,40.779658,40.741156,40.697379,40.656463,40.614855,40.571877,40.527523,40.482204,40.439695,40.393903,40.350796,40.309535,40.265172,40.219352,40.175212,40.130616,40.087009,40.044041,40.001860,39.962042,39.919709,39.880388,39.836089,39.792220,39.748068,39.708612,39.667652,39.622906,39.579026,39.539530,39.497231,39.454714,39.412508,39.367911,39.323598,39.280175,39.236108,39.192484,39.151023,39.112499,39.069812,39.027452,38.986427,38.949393,38.915374,38.878651,38.843868,38.810274,38.771400,38.735534,38.697660,38.658455,38.618737,38.576698,38.536991,38.498122,38.454494,38.415762,38.375865,38.337364,38.301294,38.264378,38.226212,38.187078,38.149924,38.121653,38.086374,38.049613,38.013814,37.978385,37.945293,37.906620,37.872045,37.836100,37.805752,37.768251,37.733178,37.699400,37.668577,37.635267,37.603608,37.569109,37.533514,37.497113,37.458825,37.421885,37.383093,37.346366,37.308439,37.266792,37.227356,
2010/1/13,46.920000,47.174581,47.290528,47.328851,47.321445,47.285999,47.233097,47.169474,47.099582,47.026417,46.952003,46.877702,46.804416,46.732725,46.662989,46.595410,46.530081,46.467024,46.406205,46.347559,46.290999,46.236420,46.183715,46.132769,46.083468,46.035701,45.989358,45.944336,45.900533,45.857856,45.816215,45.775526,45.735711,45.696697,45.658414,45.620800,45.583795,45.547345,45.511398,45.475908,45.440832,45.406127,45.371757,45.337688,45.303889,45.270329,45.236978,45.203816,45.170813,45.137949,45.105203,45.072560,45.040005,45.007523,44.975077,44.942662,44.910271,44.877890,44.845521,44.813186,44.780805,44.748383,44.715883,44.683364,44.650785,44.618153,44.585532,44.552698,44.519785,44.486798,44.453699,44.420550,44.387181,44.353933,44.320469,44.286832,44.253156,44.219397,44.185512,44.151728,44.117857,44.083766,44.048927,44.013502,43.977962,43.942393,43.906707,43.871006,43.834943,43.799401,43.763405,43.727726,43.691213,43.654698,43.617600,43.580511,43.543523,43.506415,43.469169,43.431876,43.392888,43.354700,43.316194,43.277653,43.239797,43.201497,43.162845,43.125221,43.088135,43.050111,43.011832,42.974263,42.938006,42.900936,42.863947,42.827165,42.789714,42.751779,42.715478,42.677054,42.638756,42.600735,42.563168,42.525150,42.485878,42.446637,42.407893,42.369248,42.329749,42.291502,42.251492,42.211703,42.174707,42.135037,42.094495,42.054069,42.013248,41.971646,41.930856,41.889837,41.848891,41.808269,41.766638,41.723642,41.682401,41.641924,41.600579,41.559126,41.519166,41.480109,41.440218,41.400218,41.360060,41.320635,41.278229,41.236659,41.198083,41.160044,41.121717,41.084044,41.047302,41.005728,40.967517,40.929879,40.892620,40.853195,40.814713,40.771019,40.730152,40.688600,40.645693,40.601424,40.556202,40.513755,40.468063,40.425024,40.383810,40.339527,40.293803,40.249740,40.205225,40.161686,40.118779,40.076651,40.036859,39.994578,39.955278,39.911051,39.867250,39.823167,39.783730,39.742805,39.698133,39.654318,39.614841,39.572589,39.530121,39.487960,39.443432,39.399184,39.355817,39.311812,39.268244,39.226818,39.188300,39.145659,39.103342,39.062347,39.025304,38.991247,38.954513,38.919700,38.886066,38.847201,38.811316,38.773442,38.734249,38.694547,38.652547,38.612856,38.573994,38.530418,38.491693,38.451813,38.413317,38.377230,38.340305,38.302140,38.263016,38.225855,38.197501,38.162199,38.125428,38.089611,38.054162,38.021029,37.982363,37.947760,37.911799,37.881389,37.843886,37.808790,37.774979,37.744099,37.710753,37.679045,37.644520,37.608907,37.572496,37.534213,37.497267,37.458483,37.421749,37.383824,37.342208,37.302785,
2010/1/14,47.500000,47.391527,47.395264,47.397310,47.380963,47.347142,47.299823,47.242924,47.179666,47.112523,47.043336,46.973441,46.903785,46.835029,46.767615,46.701832,46.637850,46.575758,46.515584,46.457316,46.400908,46.346297,46.293405,46.242147,46.192432,46.144168,46.097261,46.051623,46.007164,45.963801,45.921452,45.880040,45.839493,45.799743,45.760725,45.722379,45.684648,45.647481,45.610828,45.574645,45.538887,45.503516,45.468495,45.433791,45.399372,45.365208,45.331271,45.297538,45.263980,45.230578,45.197310,45.164162,45.131116,45.098158,45.065252,45.032393,44.999572,44.966775,44.934004,44.901278,44.868521,44.835736,44.802887,44.770030,44.737125,44.704178,44.671251,44.638127,44.604934,44.571677,44.538319,44.504919,44.471311,44.437829,44.404141,44.370291,44.336408,44.302450,44.268374,44.234401,44.200348,44.166085,44.131096,44.095537,44.059870,44.024177,43.988372,43.952557,43.916389,43.880733,43.844635,43.808850,43.772251,43.735652,43.698483,43.661326,43.624267,43.587093,43.549785,43.512433,43.473420,43.435191,43.396652,43.358078,43.320178,43.281843,43.243162,43.205492,43.168351,43.130289,43.091978,43.054364,43.018041,42.980919,42.943879,42.907042,42.869549,42.831581,42.795220,42.756772,42.718448,42.680398,42.642794,42.604747,42.565467,42.526218,42.487457,42.448795,42.409291,42.371021,42.331015,42.291227,42.254189,42.214518,42.173988,42.133572,42.092766,42.051190,42.010415,41.969413,41.928484,41.887874,41.846268,41.803316,41.762094,41.721626,41.680301,41.638869,41.598910,41.559842,41.519952,41.479954,41.439800,41.400369,41.357995,41.316447,41.277854,41.239792,41.201445,41.163746,41.126965,41.085412,41.047181,41.009517,40.972227,40.932798,40.894300,40.850652,40.809797,40.768265,40.725394,40.681177,40.636016,40.593598,40.547972,40.504968,40.463767,40.419533,40.373872,40.329853,40.285387,40.241886,40.199010,40.156903,40.117108,40.074850,40.035541,39.991358,39.947594,39.903552,39.864108,39.823191,39.778565,39.734787,39.695302,39.653070,39.610625,39.568483,39.523997,39.479789,39.436453,39.392483,39.348947,39.307532,39.268996,39.226377,39.184079,39.143090,39.106015,39.071899,39.035131,39.000266,38.966570,38.927692,38.891767,38.853871,38.814669,38.774962,38.732978,38.693282,38.654409,38.610862,38.572124,38.532241,38.493730,38.457607,38.420653,38.382471,38.343338,38.306151,38.277695,38.242352,38.205552,38.169700,38.134211,38.101020,38.062343,38.027695,37.991701,37.961211,37.923688,37.888553,37.854692,37.823739,37.790340,37.758567,37.723999,37.688354,37.651916,37.613621,37.576654,37.537863,37.501105,37.463167,37.421565,37.382141,
